timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
35692000,0.0011085974,-0.0010178358,0.0017634004,0.0,0.99999934,0.0005547471,-0.00050842884,0.0008819821,0.0,0.0,-0.53177214,0,0,0,0,0
35743000,0.0009042693,-0.00092261995,0.0017860454,0.0,0.99999934,0.00045254637,-0.00046090598,0.000893231,0.0,0.0,-0.5317105,0,0,0,0,0
35795000,0.0005630706,-0.00052820257,0.0018077514,0.0,0.9999995,0.0002817739,-0.00026384668,0.0009039498,0.0,0.0,-0.5315041,0,0,0,0,0
35847000,0.0,0.0,0.001831124,0.0,0.9999996,0.0,0.0,0.000915562,0.0,0.0,-0.5311891,0,0,0,0,0
35900000,0.00017595977,-0.00029706478,0.0018516113,0.0,0.9999996,8.8117355e-05,-0.00014845088,0.0009258187,0.0,0.0,-0.53101104,0,0,0,0,0
35955000,0.000222357,-0.0006537542,0.0018785094,0.0,0.9999995,0.00011148545,-0.00032677248,0.0009392909,0.0,0.0,-0.5309289,0,0,0,0,0
36004000,0.0004528775,-0.00125819,0.0019011123,0.0,0.99999934,0.00022703658,-0.0006288794,0.0009506983,0.0,0.0,-0.53099424,0,0,0,0,0
36056000,0.00058174564,-0.0016253632,0.0019244319,0.0,0.99999917,0.00029165455,-0.0008124013,0.0009624519,0.0,0.0,-0.5310745,0,0,0,0,0
36096000,0.0009309022,-0.0017513793,0.0019446815,0.0,0.99999905,0.00046630212,-0.00087523635,0.00097274774,0.0,0.0,-0.5311941,0,0,0,0,0
36147000,0.0012456492,-0.0018264564,0.0019695552,0.0,0.9999989,0.0006237233,-0.0009126141,0.0009853457,0.0,0.0,-0.5313378,0,0,0,0,0
36196000,0.001669567,-0.0015677239,0.0019917493,0.0,0.9999988,0.00083556335,-0.0007830298,0.0009965281,0.0,0.0,-0.531479,0,0,0,0,0
36247000,0.0018903486,-0.0013382847,0.0020117282,0.0,0.9999988,0.00094584643,-0.00066819094,0.0010064957,0.0,0.0,-0.5315691,0,0,0,0,0
36303000,0.0023671065,-0.001504869,0.0020362216,0.0,0.9999985,0.0011843182,-0.00075122854,0.0010190003,0.0,0.0,-0.5317794,0,0,0,0,0
36344000,0.0025839678,-0.001691115,0.0020537241,0.0,0.9999983,0.0012928506,-0.00084422954,0.0010279532,0.0,0.0,-0.531897,0,0,0,0,0
36400000,0.0031036353,-0.0022953537,0.0020780812,0.0,0.99999756,0.0015530078,-0.0011460623,0.0010408196,0.0,0.0,-0.5321815,0,0,0,0,0
36444000,0.0032288595,-0.0025499486,0.0020932609,0.0,0.9999973,0.0016157613,-0.0012732819,0.0010486866,0.0,0.0,-0.5323465,0,0,0,0,0
36504000,0.00356996,-0.002698631,0.002111357,0.0,0.99999696,0.001786401,-0.001347428,0.0010580842,0.0,0.0,-0.53233504,0,0,0,0,0
36551000,0.0037418043,-0.0027739985,0.002125938,0.0,0.9999967,0.0018723727,-0.001385007,0.001065561,0.0,0.0,-0.5321542,0,0,0,0,0
36600000,0.003930045,-0.0025937916,0.0021385897,0.0,0.9999966,0.001966405,-0.0012947911,0.0010718403,0.0,0.0,-0.5318378,0,0,0,0,0
36644000,0.0038442712,-0.002417612,0.002149484,0.0,0.99999684,0.0019234312,-0.0012067369,0.0010770626,0.0,0.0,-0.5315628,0,0,0,0,0
36692000,0.0038414565,-0.0022696303,0.002161776,0.0,0.9999969,0.0019219512,-0.0011327361,0.0010830647,0.0,0.0,-0.5313186,0,0,0,0,0
36744000,0.003763961,-0.0019271843,0.0021731583,0.0,0.99999714,0.0018830241,-0.00096154475,0.0010883902,0.0,0.0,-0.5311581,0,0,0,0,0
36796000,0.0037046787,-0.0016146398,0.002186267,0.0,0.9999973,0.0018532192,-0.00080529315,0.0010946265,0.0,0.0,-0.53113955,0,0,0,0,0
36843000,0.0037083246,-0.0013211983,0.002197284,0.0,0.99999744,0.0018548856,-0.00065856066,0.0010998646,0.0,0.0,-0.53112006,0,0,0,0,0
36891000,0.0035356618,-0.0010991746,0.0022080417,0.0,0.9999977,0.0017684354,-0.0005476343,0.0011049905,0.0,0.0,-0.53109705,0,0,0,0,0
36952000,0.0032980584,-0.0008974066,0.0022228148,0.0,0.9999979,0.001649526,-0.00044686967,0.0011121456,0.0,0.0,-0.5308821,0,0,0,0,0
