timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
25900000,704000,1,1310988,6620172,1310988,197388,0.038852844,0.039667696,0.039666425,0.038830955,0.039686922,0.039666258,nan,nan,nan,0.0,0.5299354,0.48118538,1.0,0.6183717,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
26901000,704000,1,1310988,6620172,1310988,197388,0.04356368,0.044078276,0.044087783,0.043537147,0.04408911,0.044075664,nan,nan,nan,0.0,0.5453328,0.5043867,1.0,0.64192295,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
27912000,704000,1,1310988,6620172,1310988,197388,0.04337549,0.043705475,0.04370331,0.04335226,0.043702375,0.043705143,nan,nan,nan,0.0,0.57544446,0.5511407,1.0,0.67049843,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
28917000,704000,1,1310988,6620172,1310988,197388,0.038119648,0.03714204,0.037141398,0.03813525,0.0371426,0.037140086,nan,nan,nan,0.0,0.60976243,0.5839157,1.0,0.7148853,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
29924000,704000,1,1310988,6620172,1310988,197388,0.03219677,0.0320888,0.032081097,0.032210726,0.032075725,0.032087855,nan,nan,nan,0.0,0.61971635,0.5941196,1.0,0.7272783,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
30925000,704000,1,1310988,6620172,1310988,197388,0.03796068,0.037815366,0.037805792,0.037966587,0.037821908,0.037815075,nan,nan,nan,0.0,0.62505555,0.596098,1.0,0.7397468,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
31936000,704000,1,1310988,6620172,1310988,197388,0.04772979,0.047629125,0.047641005,0.04772248,0.047627676,0.04763134,nan,nan,nan,0.0,0.6575619,0.6478143,1.0,0.76100326,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
32939000,704000,1,1310988,6620172,1310988,197388,0.018822934,0.018524386,0.018569931,0.018857872,0.018551566,0.018533245,nan,nan,nan,0.0,0.6862085,0.6787956,1.0,0.79204744,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
33948000,704000,1,1310988,6620172,1310988,197388,0.030928297,0.030274302,0.030092103,0.0307189,0.030101033,0.030328935,nan,nan,nan,0.0,0.70074415,0.7189119,1.0,0.8056878,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
34955000,704000,1,1310988,6620172,1310988,197388,0.048733816,0.051816702,0.048945654,0.045750964,0.048945174,0.05185476,nan,nan,nan,0.0,0.8036512,0.7774557,1.0,0.99579155,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
35960000,704000,1,1310988,6620172,1310988,197388,0.034472853,0.03421156,0.033349384,0.033983074,0.033369858,0.034200113,nan,nan,nan,0.0,0.830236,0.83615494,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
36964000,704000,1,1310988,6620172,1310988,197388,0.0389071,0.03849816,0.034061417,0.034909002,0.03456773,0.038492,nan,nan,nan,0.0,0.88150257,0.994558,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
37976000,704000,1,1310988,6620172,1310988,197388,0.047310196,0.04560753,0.04551961,0.04719998,0.04548765,0.045621816,nan,nan,nan,0.0,0.91212386,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
38979000,704000,1,1310988,6620172,1310988,197388,0.03413377,0.032381184,0.03255941,0.03399191,0.032562796,0.032396365,nan,nan,nan,0.0,0.9501016,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
