timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
334149832,0.0047357287,-0.0055230847,-0.0052518477,0.0
334169368,0.0047501856,-0.005724583,-0.005362878,0.0
334190315,0.004695537,-0.005868914,-0.0054175225,0.0
334209807,0.00464445,-0.006031293,-0.005497591,0.0
334230799,0.004680461,-0.006364643,-0.005518944,0.0
334250335,0.0048591164,-0.006773027,-0.005577356,0.0
334269789,0.004882935,-0.0071234624,-0.0055427146,0.0
334290779,0.0043300735,-0.0074968217,-0.0055781505,0.0
334310273,0.00405134,-0.0078191515,-0.0055090967,0.0
334329768,0.004158124,-0.008106457,-0.005526143,0.0
334350762,0.004465846,-0.008286582,-0.0054674842,0.0
334370253,0.004511652,-0.008520908,-0.0054458715,0.0
334389748,0.004256267,-0.008737382,-0.0054144477,0.0
334410745,0.0038226293,-0.009007897,-0.00534911,0.0
334430232,0.0033954834,-0.009272072,-0.0053452495,0.0
334449723,0.0033755458,-0.009421072,-0.005235951,0.0
334470716,0.0032679352,-0.009451568,-0.0052601527,0.0
334490213,0.0031065987,-0.009441687,-0.0051325676,0.0
334509705,0.002931691,-0.0095479265,-0.005187377,0.0
334530702,0.002974052,-0.009777963,-0.0050243293,0.0
334550191,0.003078206,-0.009953445,-0.0050948337,0.0
334569683,0.0031640632,-0.010192195,-0.004930325,0.0
334590672,0.0030404862,-0.0104018375,-0.0050187353,0.0
334610172,0.002900868,-0.01043259,-0.0048400788,0.0
334629660,0.002905958,-0.010306536,-0.004894362,0.0
334650653,0.0030824747,-0.010198789,-0.004783983,0.0
334670149,0.0033342175,-0.0101529835,-0.004772106,0.0
334689640,0.0035061704,-0.010283466,-0.0047731996,0.0
334710634,0.0037144388,-0.010603912,-0.0046678786,0.0
334730131,0.003752876,-0.010950153,-0.004738104,0.0
334749618,0.0037673654,-0.011313778,-0.0045460034,0.0
334770645,0.003404163,-0.011717264,-0.0046562892,0.0
334790108,0.0030799229,-0.012164241,-0.004428532,0.0
334809598,0.0028238343,-0.012470729,-0.0045480807,0.0
334830593,0.0026141312,-0.012929608,-0.004323407,0.0
334850088,0.0024837733,-0.013411067,-0.004441056,0.0
334869578,0.002423238,-0.0137763135,-0.0042425664,0.0
334890568,0.0022358722,-0.014114421,-0.0043466897,0.0
334910071,0.0019953893,-0.014537302,-0.0041798493,0.0
334929554,0.0018562622,-0.014999991,-0.0042228345,0.0
334950548,0.0018446672,-0.015440523,-0.004115156,0.0
334970045,0.0019204756,-0.015799286,-0.0041198637,0.0
334989536,0.0020429527,-0.016085321,-0.004091403,0.0
335010530,0.0021554134,-0.016344184,-0.0040226392,0.0
335030027,0.0022036617,-0.016661534,-0.004030304,0.0
335049544,0.0022686564,-0.017031657,-0.003939875,0.0
335070505,0.002185392,-0.017389113,-0.0039717117,0.0
335090002,0.0022038484,-0.017669087,-0.0038573514,0.0
335109493,0.0021737807,-0.017925559,-0.0039161155,0.0
335130488,0.002237324,-0.018211145,-0.0037969907,0.0
335149983,0.002307814,-0.01839045,-0.0038547236,0.0
335169474,0.0024884646,-0.018473295,-0.0037541518,0.0
335190467,0.0026056212,-0.018510168,-0.0037886766,0.0
335209957,0.002699643,-0.01867545,-0.0037139985,0.0
335229450,0.002778007,-0.018863903,-0.0037413065,0.0
335250444,0.0027613353,-0.018964736,-0.0036744308,0.0
335269941,0.0027277872,-0.01901016,-0.0036933029,0.0
335289429,0.0027955908,-0.019094685,-0.0036569338,0.0
335310423,0.002883376,-0.019236809,-0.0036615022,0.0
335329922,0.0028715811,-0.019383995,-0.003610782,0.0
335349410,0.0028575684,-0.01952132,-0.0036119877,0.0
335370404,0.0028883074,-0.01962821,-0.0035821057,0.0
335389896,0.0029346761,-0.019758204,-0.0035478284,0.0
335409389,0.0029369344,-0.019913245,-0.00354257,0.0
335430383,0.0030031968,-0.020050157,-0.003480375,0.0
335449875,0.0030473361,-0.020201799,-0.0034871518,0.0
335469370,0.0030695794,-0.0202636,-0.0034139927,0.0
335490364,0.002970677,-0.02032909,-0.0034322573,0.0
335509856,0.0029061043,-0.020533927,-0.003353884,0.0
335529347,0.0029291909,-0.02073077,-0.0033935336,0.0
335550336,0.0029954785,-0.020801596,-0.003311731,0.0
335569834,0.00305069,-0.020856421,-0.0033398569,0.0
335589328,0.0030825788,-0.020927342,-0.0032638693,0.0
335610319,0.0031621119,-0.021002956,-0.0032960994,0.0
335629812,0.0031523262,-0.021073466,-0.003235233,0.0
335650807,0.003183575,-0.021141438,-0.00326886,0.0
335670298,0.0032906153,-0.02128712,-0.0032107406,0.0
335689789,0.00337439,-0.021499293,-0.0032303883,0.0
335710783,0.0033302642,-0.021654012,-0.0031924678,0.0
335730275,0.0032798294,-0.021728586,-0.0032019995,0.0
335749778,0.003230206,-0.021876836,-0.0031870636,0.0
335770767,0.0032555654,-0.022083096,-0.0031802536,0.0
335790252,0.0033100087,-0.02225709,-0.0031888855,0.0
335809796,0.0032709155,-0.02233707,-0.003153376,0.0
335830745,0.003255885,-0.022471532,-0.0031853004,0.0
335850233,0.0032709925,-0.022691336,-0.0031342495,0.0
335869724,0.003263539,-0.022872582,-0.0031960632,0.0
335890717,0.003192922,-0.02297801,-0.00311133,0.0
335910210,0.0030779964,-0.023057673,-0.0031854424,0.0
335929706,0.003009897,-0.023153,-0.0031220953,0.0
335950703,0.0029982128,-0.023265924,-0.0031675056,0.0
335970188,0.0028965983,-0.023352575,-0.003129709,0.0
335989685,0.0028784983,-0.02346073,-0.0031283847,0.0
