timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
10324000,1310988,1310988,1310996,1311004,0,0.003070639,0.0015353581,0.0015354037,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
10524000,1310988,1310988,1310996,1311004,0,0.0030707421,0.0015353536,0.001535308,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
10721000,1310988,1310988,1310996,1311004,0,0.0030707782,0.0015354317,0.001535197,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
10925000,1310988,1310988,1310996,1311004,0,0.0030706313,0.0015352947,0.001535316,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
11124000,1310988,1310988,1310996,1311004,0,0.0030708185,0.0015353279,0.0015354559,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
11321000,1310988,1310988,1310996,1311004,0,0.0030708178,0.0015353526,0.0015354245,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
11525000,1310988,1310988,1310996,1311004,0,0.0030707135,0.0015354234,0.0015352455,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
11725000,1310988,1310988,1310996,1311004,0,0.0030706208,0.0015353853,0.0015353323,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
11925000,1310988,1310988,1310996,1311004,0,0.0030706786,0.0015353285,0.0015352579,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
12125000,1310988,1310988,1310996,1311004,0,0.0030706832,0.0015353494,0.0015351201,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
12321000,1310988,1310988,1310996,1311004,0,0.0030708115,0.0015353616,0.0015353025,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
12525000,1310988,1310988,1310996,1311004,0,0.0030707296,0.0015353927,0.0015353115,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
12728000,1310988,1310988,1310996,1311004,0,0.0030708376,0.0015353233,0.0015354498,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
12924000,1310988,1310988,1310996,1311004,0,0.003070803,0.0015352862,0.0015353607,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
13125000,1310988,1310988,1310996,1311004,0,0.0030706942,0.00153536,0.0015352368,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
13325000,1310988,1310988,1310996,1311004,0,0.003070858,0.0015353777,0.0015351691,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
13525000,1310988,1310988,1310996,1311004,0,0.0030706304,0.0015353609,0.0015351686,0.0,1310988,1310988,1310996,1311004,0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0
