timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
16252000,16252000,2,1311004,6620172,1311004,197644,0.02012062,0.019650012,0.019729305,0.020126542,0.019651294,0.019574134,nan,nan,nan,0.00054648705,7.5878575e-05,0.00015517138,0.0005524084,7.7160075e-05,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,5,6,1,1,1,1,1,1,0,0,0,0,0
16296000,16296000,3,1310996,6620172,1310996,197388,0.02012062,0.019650012,0.019729305,0.020126542,0.019651294,0.019574134,nan,nan,nan,0.00047060847,0.0,7.9292804e-05,0.00047652982,1.2814999e-06,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,0,1,1,1,0,0,0,0,0
16300000,16296000,3,1310996,6620172,1310996,197388,0.02012062,0.019650012,0.019729305,0.020126542,0.019651294,0.019574134,nan,nan,nan,0.00047060847,0.0,7.9292804e-05,0.00047652982,1.2814999e-06,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
17304000,16296000,3,1310996,6620172,1310996,197388,0.031210016,0.031027926,0.031362943,0.031180738,0.031031635,0.0313411,nan,nan,nan,0.07114526,0.0,0.0453277,0.060803033,0.010869471,0.05226229,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
18320000,16296000,3,1310996,6620172,1310996,197388,0.023407374,0.02413867,0.024308164,0.023398519,0.024143921,0.024233334,nan,nan,nan,0.12455387,0.0,0.09822727,0.10053557,0.03928501,0.10865095,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
19324000,16296000,3,1310996,6620172,1310996,197388,0.011843661,0.011798734,0.011879818,0.011861119,0.011794904,0.01201045,nan,nan,nan,0.1709084,0.0,0.1383116,0.14002368,0.07465851,0.15244785,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
20332000,16296000,3,1310996,6620172,1310996,197388,0.026766907,0.027291242,0.026380962,0.026771232,0.027287118,0.026174262,nan,nan,nan,0.1814813,0.0,0.1530384,0.15068395,0.1032346,0.16634297,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
21344000,16296000,3,1310996,6620172,1310996,197388,0.027634626,0.02685348,0.027135313,0.027648412,0.026844928,0.027149992,nan,nan,nan,0.22847217,0.0,0.25304872,0.1684368,0.17460766,0.22397509,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
22348000,16296000,3,1310996,6620172,1310996,197388,0.019426458,0.018662153,0.019010328,0.019446159,0.018651936,0.018991556,nan,nan,nan,0.2792712,0.0,0.2951652,0.2237117,0.19625634,0.2680523,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
23356000,16296000,3,1310996,6620172,1310996,197388,0.021982305,0.021713655,0.02168063,0.021976598,0.02171377,0.021692311,nan,nan,nan,0.31795967,0.0,0.32718503,0.26244208,0.20204836,0.31180274,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
24360000,16296000,3,1310996,6620172,1310996,197388,0.015856996,0.01535687,0.015665501,0.015869303,0.015351279,0.015615974,nan,nan,nan,0.3918629,0.0,0.38025296,0.34178016,0.23662019,0.38778442,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
25368000,16296000,3,1310996,6620172,1310996,197388,0.014007598,0.013508141,0.014144839,0.0140092885,0.013503587,0.013942301,nan,nan,nan,0.43644455,0.0,0.41868606,0.3688627,0.27768242,0.42469335,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
26372000,16296000,3,1310996,6620172,1310996,197388,0.02459039,0.024220448,0.02455293,0.02460528,0.024223957,0.024475155,nan,nan,nan,0.4468081,0.0,0.44266346,0.38793832,0.29165992,0.4362525,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
26920000,16296000,3,1310996,6620172,1310996,197388,0.014664517,0.014841953,0.014666732,0.014654249,0.014837784,0.014699419,nan,nan,nan,0.45396855,0.0,0.4466528,0.39483854,0.31854907,0.44012934,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,6,1,1,1,1,1,1,0,0,0,0,0
26972000,26952000,4,1310988,6620172,1310988,197644,0.014664517,0.014841953,0.014666732,0.014654249,0.014837784,0.014699419,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,3,6,1,0,1,1,0,0,0,0,0,0,0
26972000,26952000,4,1310988,6620172,1310988,197644,0.014664517,0.014841953,0.014666732,0.014654249,0.014837784,0.014699419,nan,nan,nan,1.0267831e-05,0.00018770434,1.2483448e-05,0.0,0.00018353481,4.5170076e-05,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,3,6,1,1,1,1,1,1,0,0,0,0,0
27980000,26952000,4,1310988,6620172,1310988,197644,0.01752988,0.017204013,0.016859517,0.017531551,0.017205268,0.016977806,nan,nan,nan,0.00019426271,0.04901835,0.0421814,0.0,0.049131412,0.047967,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,3,6,1,1,1,1,1,1,0,0,0,0,0
28984000,26952000,4,1310988,6620172,1310988,197644,0.030163333,0.030758627,0.03028935,0.030167108,0.030768666,0.03016807,nan,nan,nan,0.0003852062,0.09909111,0.07086252,0.0,0.099459805,0.083218865,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,3,6,1,1,1,1,1,1,0,0,0,0,0
29988000,26952000,4,1310988,6620172,1310988,197644,0.013132896,0.012503445,0.012961566,0.013133035,0.012482012,0.012957063,nan,nan,nan,0.00056659617,0.15259989,0.104413055,0.0,0.14192459,0.109898046,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,3,6,1,1,1,1,1,1,0,0,0,0,0
