timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
135552421,135551634,6684682,1999.1115,1.9522573,60.62651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,551.0,505.0,4420.0
136322772,136321768,6684682,1999.1115,1.9522573,nan,nan,nan,nan,52.92878,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,544.0,532.0,3405.0
136961640,136959793,6684682,1999.1115,1.9522573,44.901917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,584.0,555.0,2831.0
137092440,137090409,6684682,1999.1115,1.9522573,nan,nan,nan,nan,52.710724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,558.0,512.0,2372.0
138758635,138755264,6684682,1999.1115,1.9522573,nan,nan,nan,nan,50.924694,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,761.0,520.0,3513.0
138885014,138882869,6684682,1999.1115,1.9522573,nan,nan,nan,nan,32.587082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,755.0,523.0,3150.0
139010839,139010473,6684682,1999.1115,1.9522573,33.188374,nan,nan,nan,32.587082,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,606.0,523.0,3206.0
139655032,139651496,6684682,1999.1115,1.9522573,nan,nan,nan,nan,55.46653,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,520.0,525.0,3179.0
139781267,139780647,6684682,1999.1115,1.9522573,nan,nan,nan,nan,35.140633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,554.0,505.0,3122.0
140038134,140034308,6684682,1999.1115,1.9522573,38.879143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,576.0,461.0,2822.0
