timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
7681000,7681000,9.879207e-05,-6.589636e-06,8.083652e-08,0.0,0.0,0.0,0.0,-1.0
7732000,7732000,0.00010001852,-6.387319e-06,7.627304e-08,0.0,0.0,0.0,0.0,-1.0
7780000,7780000,0.00010139746,-6.221105e-06,7.170956e-08,0.0,0.0,0.0,0.0,-1.0
7832000,7832000,0.000101647754,-5.89453e-06,7.757689e-08,0.0,0.0,0.0,0.0,-1.0
7880000,7880000,0.00010186358,-5.6315625e-06,7.1057634e-08,0.0,0.0,0.0,0.0,-1.0
7932000,7932000,0.00010227346,-5.3655e-06,7.692497e-08,0.0,0.0,0.0,0.0,-1.0
7980000,7980000,0.00010300341,-5.160886e-06,7.040571e-08,0.0,0.0,0.0,0.0,-1.0
8032000,8032000,0.00010255104,-4.807986e-06,6.323452e-08,0.0,0.0,0.0,0.0,-1.0
8081000,8081000,0.00010201633,-4.5056227e-06,6.323452e-08,0.0,0.0,0.0,0.0,-1.0
8132000,8132000,0.00010082173,-4.0226478e-06,3.5785132e-07,0.0,0.0,0.0,0.0,-1.0
8180000,8180000,0.00010108177,-3.721186e-06,3.552436e-07,0.0,0.0,0.0,0.0,-1.0
8236000,8236000,0.0001002556,-3.3290212e-06,3.5785132e-07,0.0,0.0,0.0,0.0,-1.0
8280000,8280000,9.9000325e-05,-2.920184e-06,3.552436e-07,0.0,0.0,0.0,0.0,-1.0
8332000,8332000,9.796849e-05,-2.516609e-06,3.5068012e-07,0.0,0.0,0.0,0.0,-1.0
8383000,8383000,9.7652366e-05,-2.1944502e-06,3.474205e-07,0.0,0.0,0.0,0.0,-1.0
8432000,8432000,9.640617e-05,-1.8225185e-06,3.474205e-07,0.0,0.0,0.0,0.0,-1.0
8480000,8480000,9.477271e-05,-1.4254321e-06,3.3112235e-07,0.0,0.0,0.0,0.0,-1.0
8536000,8536000,9.333316e-05,-9.961136e-07,3.3047044e-07,0.0,0.0,0.0,0.0,-1.0
8581000,8581000,9.288279e-05,-6.874327e-07,3.2590694e-07,0.0,0.0,0.0,0.0,-1.0
8632000,8632000,9.149283e-05,-2.9228303e-07,3.226473e-07,0.0,0.0,0.0,0.0,-1.0
8681000,8681000,8.980435e-05,8.154757e-08,3.0504532e-07,0.0,0.0,0.0,0.0,-1.0
8732000,8732000,8.834587e-05,4.7210528e-07,3.1091267e-07,0.0,0.0,0.0,0.0,-1.0
8780000,8780000,8.775201e-05,8.0421773e-07,3.0830495e-07,0.0,0.0,0.0,0.0,-1.0
8832000,8832000,8.5988635e-05,1.236536e-06,7.0626794e-07,0.0,0.0,0.0,0.0,-1.0
8883000,8883000,8.421569e-05,1.6031724e-06,7.030083e-07,0.0,0.0,0.0,0.0,-1.0
8936000,8936000,8.2854516e-05,1.9471838e-06,7.0170444e-07,0.0,0.0,0.0,0.0,-1.0
8980000,8980000,8.2314735e-05,2.2091597e-06,6.984448e-07,0.0,0.0,0.0,0.0,-1.0
9032000,9032000,8.14332e-05,2.542082e-06,7.030083e-07,0.0,0.0,0.0,0.0,-1.0
9083000,9083000,8.004307e-05,2.8401519e-06,6.945333e-07,0.0,0.0,0.0,0.0,-1.0
9132000,9132000,7.899449e-05,3.1248212e-06,7.0626794e-07,0.0,0.0,0.0,0.0,-1.0
9180000,9180000,7.85216e-05,3.3612896e-06,7.101795e-07,0.0,0.0,0.0,0.0,-1.0
9232000,9232000,7.8209305e-05,3.601325e-06,6.9648905e-07,0.0,0.0,0.0,0.0,-1.0
9276000,9276000,7.687626e-05,3.86045e-06,7.114833e-07,0.0,0.0,0.0,0.0,-1.0
9331000,9331000,7.599778e-05,4.1021804e-06,7.030083e-07,0.0,0.0,0.0,0.0,-1.0
9380000,9380000,7.5592005e-05,4.314711e-06,6.984448e-07,0.0,0.0,0.0,0.0,-1.0
9431000,9431000,7.577048e-05,4.490099e-06,7.004006e-07,0.0,0.0,0.0,0.0,-1.0
