timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
40526171,40526104,-0.00804614,-0.010355019,-0.011703865,0.34182268,0.0,0.0,0.0,-1.0
40578727,40578660,-0.011685843,-0.026718365,-0.063212246,0.35275003,0.0,0.0,0.0,-1.0
40628284,40628213,-0.009651216,-0.02026549,-0.053628962,0.3622254,0.0,0.0,0.0,-1.0
40677836,40677766,-0.0027628094,-0.022737164,-0.005749437,0.37252793,0.0,0.0,0.0,-1.0
40730392,40730322,-0.0042296494,-0.018737247,0.049427018,0.38240683,0.0,0.0,0.0,-1.0
40778444,40778373,0.002964757,-0.024815615,0.031008154,0.39101776,0.0,0.0,0.0,-1.0
40828002,40827926,-0.0074928487,-0.019772897,-0.03564671,0.38908285,0.0,0.0,0.0,-1.0
40876048,40875979,-0.0025325113,-0.018363226,-0.075040415,0.37623748,0.0,0.0,0.0,-1.0
40928607,40928534,-0.0069513684,-0.022757944,-0.033974975,0.36228234,0.0,0.0,0.0,-1.0
40978156,40978086,0.00036843427,-0.019224964,0.036656115,0.35412768,0.0,0.0,0.0,-1.0
41027711,41027638,0.0041266684,-0.016956877,0.07563519,0.34763718,0.0,0.0,0.0,-1.0
41080261,41080194,0.004050713,-0.018467605,0.029849837,0.34156737,0.0,0.0,0.0,-1.0
41128314,41128245,-0.0017667689,-0.015442493,-0.04112452,0.33829048,0.0,0.0,0.0,-1.0
41177866,41177798,-0.0065145846,-0.018756924,-0.09307254,0.33449373,0.0,0.0,0.0,-1.0
41225914,41225848,-0.0043186126,-0.02558046,-0.07048789,0.33293107,0.0,0.0,0.0,-1.0
41278473,41278405,0.0070370785,-0.013512103,0.06807225,0.3318492,0.0,0.0,0.0,-1.0
41328028,41327956,0.010509819,-0.014182018,0.11133149,0.331362,0.0,0.0,0.0,-1.0
41377628,41377557,0.010694846,-0.015767027,0.053529214,0.33140123,0.0,0.0,0.0,-1.0
41430180,41430112,0.0016393829,-0.022547415,-0.11156049,0.33251652,0.0,0.0,0.0,-1.0
41478186,41478115,-0.000964033,-0.027792843,-0.16821478,0.33471528,0.0,0.0,0.0,-1.0
41527782,41527713,-0.010063326,-0.0223213,-0.121256575,0.33609775,0.0,0.0,0.0,-1.0
41577290,41577222,-0.0044925334,-0.02388856,0.029939434,0.33825964,0.0,0.0,0.0,-1.0
41629846,41629775,0.015617698,-0.012678496,0.17593892,0.3408022,0.0,0.0,0.0,-1.0
41677941,41677872,0.010177919,-0.018165696,0.1273938,0.34311533,0.0,0.0,0.0,-1.0
41727447,41727380,0.0066634477,-0.016601618,-0.031352006,0.34364974,0.0,0.0,0.0,-1.0
41780004,41779934,-0.0027560992,-0.029531239,-0.16129711,0.34545723,0.0,0.0,0.0,-1.0
41828098,41828030,-0.009562233,-0.022909682,-0.109520316,0.34627196,0.0,0.0,0.0,-1.0
41877607,41877536,0.0020646108,-0.021145968,0.040706053,0.3477046,0.0,0.0,0.0,-1.0
41927159,41927091,0.010166856,-0.017664557,0.15161675,0.34958956,0.0,0.0,0.0,-1.0
41979715,41979645,0.00900236,-0.013502765,0.09826451,0.35010165,0.0,0.0,0.0,-1.0
42027766,42027696,0.020040015,-0.019510945,0.0044654813,0.3505068,0.0,0.0,0.0,-1.0
42077313,42077246,-0.0053047524,-0.015562973,-0.12906678,0.35354254,0.0,0.0,0.0,-1.0
42126870,42126799,-0.0012169447,-0.029594583,-0.15543178,0.35392523,0.0,0.0,0.0,-1.0
42179428,42179355,-0.0054334532,-0.01804775,0.0076808976,0.35413402,0.0,0.0,0.0,-1.0
42227475,42227404,-7.3774245e-05,-0.01798688,0.101941325,0.3546131,0.0,0.0,0.0,-1.0
42277026,42276957,0.005340311,-0.016062541,0.1433198,0.35443172,0.0,0.0,0.0,-1.0
